LeadTime (HRS), obsMax (m MSL), Peak (m), PLag (min), Bias(m), RMSD (m), RVal, Skil, VExp (%), nPts,
-0.0,1.886,-0.103782990105,0.0,0.110826002982,0.231708392175,0.996550659176,0.99265055685,85.83286024,239,
6.0,1.886,-0.104359052741,0.0,0.110811903855,0.230935164635,0.996595522908,0.99266979146,85.864438963,240,
12.0,1.886,-0.0971307470693,6.0,0.107323665584,0.22807308042,0.996399458707,0.992869405875,85.9599377062,240,
18.0,1.886,-0.102273955717,0.0,0.1067179391,0.227445712329,0.996397916634,0.992911092555,85.9870267166,240,
24.0,1.886,-0.102031712602,6.0,0.101651653529,0.221374380819,0.997000662258,0.993277399007,86.2799985088,240,
30.0,1.886,-0.100244823595,0.0,0.099644714757,0.220068646323,0.997006970425,0.993358422855,86.3106165397,240,
36.0,1.886,-0.0933298261545,6.0,0.0982890844056,0.21795586737,0.996956883351,0.993497567533,86.427942102,240,
42.0,1.886,-0.105581705151,6.0,0.0952246451879,0.219570723412,0.99688575321,0.99338430585,86.1968785807,240,
48.0,1.886,-0.0991829830809,0.0,0.0948312809948,0.220429651229,0.99658309619,0.99334128122,86.1172924618,240,
54.0,1.886,-0.100981093673,0.0,0.102291963218,0.222150102597,0.996808381568,0.993237408314,86.242185808,240,
60.0,1.886,-0.119199823688,-6.0,0.103577724428,0.227314708356,0.996727846444,0.992891107649,85.8830695345,240,
66.0,1.886,-0.0874520015446,-6.0,0.105235734701,0.225788333802,0.996587549533,0.993010643403,86.0631325352,240,
72.0,1.886,-0.097405391904,-6.0,0.105286350089,0.22704357451,0.996612053531,0.992922483463,85.9660737768,240,
78.0,1.886,-0.111458598195,-6.0,0.104517810825,0.223858749964,0.996629593866,0.993138699981,86.1889119037,240,
84.0,1.886,-0.104501816211,-6.0,0.112024885229,0.22661274105,0.996930400496,0.992959990546,86.256922455,240,
90.0,1.886,-0.0889518952153,-12.0,0.117941039723,0.238488732226,0.996468919593,0.992159046141,85.5384936676,240,
96.0,1.886,-0.104683049771,-12.0,0.121663647664,0.234136870174,0.996893607949,0.992468854503,86.043550385,240,
102.0,1.886,-0.0672885657633,-12.0,0.136438748403,0.24057731672,0.996644701342,0.992082173633,86.176028668,240,
108.0,1.886,-0.0470101430475,-12.0,0.144109765291,0.239898451008,0.996649037073,0.992174678165,86.6194347406,240,
114.0,1.886,-0.0965118602769,-12.0,0.117808413186,0.23045648679,0.996387136961,0.992745139205,86.1814067812,240,
120.0,1.886,-0.109643231285,-12.0,0.131962632295,0.233766501847,0.996663414139,0.992557505735,86.5380176534,240,
126.0,1.886,-0.101843535043,-18.0,0.135921403411,0.23969174569,0.996309906039,0.992166738562,86.2261891999,240,
