LeadTime (HRS), obsMax (m MSL), Peak (m), PLag (min), Bias(m), RMSD (m), RVal, Skil, VExp (%), nPts,
-0.0,1.107,-0.195164036278,0.0,-0.102309307058,0.117430735596,0.998906624937,0.991396892937,91.2101437815,240,
6.0,1.107,-0.197272901736,0.0,-0.103418201376,0.118485896755,0.998832568671,0.991227706787,91.1729061082,239,
12.0,1.107,-0.199943218556,0.0,-0.103732006948,0.118867593999,0.998824339793,0.991168935362,91.1391885611,239,
18.0,1.107,-0.201487901787,0.0,-0.105072220308,0.119832117538,0.9988468979,0.991031045328,91.204667714,239,
24.0,1.107,-0.2016242553,0.0,-0.105605755994,0.120151128679,0.998867040862,0.990987278033,91.2522855653,239,
30.0,1.107,-0.203146332683,-6.0,-0.104835032036,0.119222986628,0.998953641494,0.991123796722,91.3325480297,239,
36.0,1.107,-0.205072402007,-6.0,-0.10444736751,0.119383981814,0.998847243556,0.991093993644,91.1733032014,239,
42.0,1.107,-0.206514357753,0.0,-0.104873391717,0.119814511765,0.998841769834,0.991028465764,91.1550966336,239,
48.0,1.107,-0.209875128582,-6.0,-0.105086467958,0.119680859131,0.998860827337,0.99105813843,91.2567831363,239,
54.0,1.107,-0.210218221817,-6.0,-0.105288022457,0.120080126983,0.998815431744,0.990995366689,91.1860025266,239,
60.0,1.107,-0.214058309637,0.0,-0.105111516873,0.119625041359,0.998860356187,0.991068872766,91.2816364146,239,
66.0,1.107,-0.211481560584,-6.0,-0.106262955642,0.120439524447,0.99894403808,0.990945546058,91.3458310475,239,
72.0,1.107,-0.214506036172,0.0,-0.107068457099,0.121373726261,0.998888843409,0.990803964856,91.2733443969,239,
78.0,1.107,-0.218759422872,0.0,-0.106332988262,0.12107618423,0.998886137188,0.990835543613,91.160830196,239,
84.0,1.107,-0.218594635645,0.0,-0.106855143314,0.120947471288,0.998904463202,0.990874630306,91.3506714952,239,
90.0,1.107,-0.221291331658,0.0,-0.104377856293,0.119314278333,0.998850810063,0.991103252216,91.1761053563,239,
96.0,1.107,-0.224349839972,0.0,-0.106908191551,0.121969292523,0.99888386841,0.990686838531,91.0372441876,239,
102.0,1.107,-0.227001012998,0.0,-0.10773301916,0.122907669529,0.99884952518,0.990540185613,90.9689347783,239,
108.0,1.107,-0.224455475349,0.0,-0.106989670449,0.121788276949,0.998896095944,0.990722064646,91.117623872,239,
114.0,1.107,-0.224960283831,-6.0,-0.107588557781,0.122297321819,0.998788491325,0.990658377701,91.1232107841,239,
120.0,1.107,-0.23376515352,-6.0,-0.111384442013,0.126500469983,0.998630502675,0.989995087795,90.8459356499,239,
126.0,1.107,-0.227240011623,-6.0,-0.10918475345,0.124324147142,0.998737280796,0.990330473841,90.9235163473,239,
