LeadTime (HRS), obsMax (m MSL), Peak (m), PLag (min), Bias(m), RMSD (m), RVal, Skil, VExp (%), nPts,
-0.0,0.342,-0.0847133718008,-6.0,-0.0763460552322,0.0773117128029,0.994385152059,0.897374323096,89.2355684154,240,
6.0,0.342,-0.0836425358409,-6.0,-0.0757574643279,0.0767548293953,0.994342667374,0.899322517965,89.1228874726,239,
12.0,0.342,-0.0731384500486,-6.0,-0.0696902670502,0.0707701832059,0.994623727813,0.913672174225,89.1380908531,239,
18.0,0.342,-0.0776631173229,-6.0,-0.072256663969,0.0731308783531,0.995198399161,0.907331003268,90.0572460972,239,
24.0,0.342,-0.0699814699901,726.0,-0.067590224749,0.0684520048483,0.995896969899,0.918740375639,90.4507509635,239,
30.0,0.342,-0.0768746887518,726.0,-0.0728087445201,0.0736802251915,0.99531837302,0.906624745205,90.0352717259,239,
36.0,0.342,-0.0756876156897,-12.0,-0.070802724832,0.0718207468618,0.994888635258,0.911432022463,89.3730604902,239,
42.0,0.342,-0.0720219218636,-12.0,-0.0703733383078,0.0714676089247,0.994531113436,0.912256395599,89.0125402051,239,
48.0,0.342,-0.0788954526795,720.0,-0.0703829920797,0.0711938720291,0.995571635289,0.91108662493,90.5505062141,239,
54.0,0.342,-0.0606678463866,714.0,-0.0626249018111,0.0634896042327,0.996382858001,0.929567943625,90.7902046941,239,
60.0,0.342,-0.0711229900659,726.0,-0.0654092988798,0.0663329924959,0.99541581324,0.92230231464,90.2711681774,239,
66.0,0.342,-0.0797273779866,726.0,-0.0758312907413,0.0766410327818,0.995419147265,0.899597636271,90.2005213349,239,
72.0,0.342,-0.0737643556511,726.0,-0.0716861948782,0.0725657424383,0.995289761903,0.908892635979,90.0659896094,239,
78.0,0.342,-0.08172538807,-12.0,-0.0747313819691,0.076077030821,0.992328649742,0.900470688265,87.4364383341,239,
84.0,0.342,-0.0844039399154,726.0,-0.0773435546665,0.0785084075914,0.993034714989,0.8942789838,88.1170080432,239,
90.0,0.342,-0.0790042965636,732.0,-0.0774874202512,0.0786074182359,0.993835587549,0.896044226752,88.338967372,239,
96.0,0.342,-0.0709864041288,726.0,-0.0721712628587,0.0730996146567,0.99534221729,0.908714038553,89.7581198372,239,
102.0,0.342,-0.065311450028,726.0,-0.0642533873565,0.0653328682025,0.995158323927,0.925546760751,89.5691173521,239,
108.0,0.342,-0.0689808634664,726.0,-0.0655880549443,0.0668287259434,0.994001519744,0.921824676842,88.6959532022,239,
114.0,0.342,-0.0833133964554,726.0,-0.0795955697799,0.0806321036356,0.994261720977,0.891564755079,88.6343408473,239,
120.0,0.342,-0.0789654428527,726.0,-0.0705565957981,0.0719338189815,0.992547976689,0.909806978592,87.6453881286,239,
126.0,0.342,-0.0822186069284,726.0,-0.079803751186,0.0808258942696,0.994034688193,0.8902749117,88.6993658254,239,
