LeadTime (HRS), obsMax (m MSL), Peak (m), PLag (min), Bias(m), RMSD (m), RVal, Skil, VExp (%), nPts,
-0.0,1.429,0.180674159379,-66.0,0.685212104111,0.816823949359,0.913229173319,0.684305823329,41.1131810291,239,
6.0,1.429,0.241460362144,-60.0,0.759599686946,0.885769055904,0.904151075335,0.661449432888,39.7603416671,240,
12.0,1.429,0.135958188617,-78.0,0.671244003177,0.813021822499,0.914828153511,0.679296919831,39.349567338,240,
18.0,1.429,0.198935638696,-66.0,0.727351822698,0.859705656779,0.912847731758,0.666786900313,39.4047607512,240,
24.0,1.429,0.107603917035,-66.0,0.644025990487,0.7912258335,0.913868927129,0.685201343314,39.2296636204,240,
30.0,1.429,0.147849745583,-66.0,0.707898657287,0.848031064468,0.9182095146,0.66558467423,38.2640418627,240,
36.0,1.429,0.237711017222,-66.0,0.725372148187,0.855549557117,0.89872973062,0.671131071978,40.0213197129,240,
42.0,1.429,0.339961804468,-66.0,0.796889028969,0.914728949837,0.891393040587,0.657847388052,40.6222749915,240,
48.0,1.429,0.277041225898,-66.0,0.757807971992,0.882658301631,0.887676863571,0.664840278254,40.1653971328,240,
54.0,1.429,0.308237568437,-66.0,0.792446468233,0.91263139474,0.892568966806,0.656307599819,40.1490535832,240,
60.0,1.429,0.187921490366,-72.0,0.677856290923,0.81466526714,0.892945667931,0.684248042517,40.2563824646,240,
66.0,1.429,0.179277730003,-66.0,0.674010315213,0.809746054779,0.89608045181,0.686486899034,40.6661788544,240,
72.0,1.429,0.110318936278,-66.0,0.605441166191,0.754829236139,0.894012316489,0.702230437702,40.4002421058,240,
78.0,1.429,0.0331927348744,-60.0,0.618094898823,0.784134936356,0.903844380836,0.677083472162,36.20451753,240,
84.0,1.429,0.0853134630042,-60.0,0.589886748501,0.737981747084,0.91910653888,0.708202446232,41.3697639529,240,
90.0,1.429,0.083088861847,-60.0,0.668437540553,0.824692209911,0.901639101718,0.666374371532,36.1384890461,240,
96.0,1.429,0.096586959229,-54.0,0.611423471203,0.758945724446,0.911142579439,0.70010371506,40.5541590031,240,
102.0,1.429,0.0310887815566,-66.0,0.561165027486,0.725773244549,0.907085153066,0.705162252731,39.1474857342,240,
108.0,1.429,0.200819829964,-66.0,0.67087526027,0.804070738123,0.898583262823,0.691348943038,41.3987724842,240,
114.0,1.429,0.194090625605,-66.0,0.727214681875,0.86668829189,0.884232452259,0.661913384495,37.6622856495,240,
120.0,1.429,0.245593174257,-60.0,0.718985326987,0.847201990603,0.883588608037,0.677930423023,40.7527768262,240,
126.0,1.429,0.150962915957,-72.0,0.704785620068,0.847915436854,0.89602857564,0.665740720777,37.6720425105,240,
