LeadTime (HRS), obsMax (m MSL), Peak (m), PLag (min), Bias(m), RMSD (m), RVal, Skil, VExp (%), nPts,
-0.0,1.431,-0.00103,-6.0,0.025461223431,0.0666549168535,0.995918311385,0.997606454332,90.9706687821,239,
6.0,1.431,0.02865,6.0,0.0114365917083,0.0622588149438,0.996922112833,0.998004574291,91.0473080803,240,
12.0,1.431,0.03417,-6.0,0.0113390780417,0.0591063544435,0.997295911279,0.998201143807,91.5140931583,240,
18.0,1.431,0.03248,18.0,0.0193918405417,0.0598146531513,0.997459627067,0.998157852165,91.7224796219,240,
24.0,1.431,0.01821,12.0,0.00857331133333,0.0577508175256,0.997368235098,0.998281271818,91.6454006416,240,
30.0,1.431,0.02977,0.0,0.0370053579167,0.0719785075569,0.996821698948,0.997332403404,90.9686000108,240,
36.0,1.431,0.04786,18.0,0.0325154158333,0.0662423745528,0.997525952771,0.99775171726,91.5573094186,240,
42.0,1.431,0.06405,6.0,0.0164699908333,0.0608615415104,0.997538028111,0.998106147675,91.4289295229,240,
48.0,1.431,0.06215,18.0,0.00656061870833,0.0603096998456,0.997353849015,0.998139319939,91.2298137113,240,
54.0,1.431,0.02926,18.0,-0.0231538679167,0.0634368229751,0.997487891676,0.997943386872,91.3602164264,240,
60.0,1.431,0.05913,6.0,-0.004254177625,0.0612478950777,0.997267925234,0.998083200944,91.0618505063,240,
66.0,1.431,0.01491,6.0,-0.0482592991667,0.0763608390252,0.997480735667,0.997023616299,91.3430327686,240,
72.0,1.431,0.06597,-6.0,0.0370522517917,0.0769481376083,0.995814964599,0.996930683313,90.1343927148,240,
78.0,1.431,0.04116,18.0,-0.0279547608333,0.0767913881412,0.995227281196,0.996942864894,89.5371869711,240,
84.0,1.431,0.03603,18.0,-0.017232279625,0.0705257787123,0.995911111915,0.997435970836,89.9956881489,240,
90.0,1.431,0.02278,24.0,-0.037599668375,0.0744200380282,0.996732249031,0.997164285966,90.6049761402,240,
96.0,1.431,0.03216,0.0,-0.019736650375,0.064407778213,0.997556990182,0.997893831415,91.031232997,240,
102.0,1.431,0.06861,18.0,0.0184503889833,0.0648488954836,0.996808994092,0.99783575971,90.9054914328,240,
108.0,1.431,0.30714,24.0,0.239432521375,0.245302685853,0.997927480767,0.970013121545,92.1965973368,240,
114.0,1.431,0.17632,24.0,0.244530294458,0.258439207793,0.992502484793,0.965257568131,87.7644350458,240,
120.0,1.431,0.3908,12.0,0.280151972875,0.291874683225,0.994403289088,0.958310784552,88.0207742044,240,
126.0,1.431,0.02264,0.0,0.103861280458,0.130280122493,0.99390387159,0.991184623408,88.4945768101,240,
132.0,1.431,0.16448,0.0,-0.094113306375,0.167495609291,0.982640118445,0.985901452386,79.7311765872,240,
138.0,1.431,-0.0022,12.0,-0.0115273914583,0.0853926434886,0.996353188958,0.996407748038,87.6224846597,240,
144.0,1.431,-0.02938,6.0,-0.1463483665,0.163187233317,0.995511504966,0.986498298459,89.4386767919,240,
150.0,1.431,-0.03522,24.0,-0.1030196675,0.122803504302,0.996220625275,0.9922931013,90.2220882745,240,
